rebalance_date,strategy,universe,asset,weight,mrc,rc,rc_share
2023-07-09,mv_sample_crypto,crypto,ofz_return,5.459921438442017e-19,0.0039836555424113225,2.1750446299379938e-21,5.383730268079189e-18
2023-07-09,mv_sample_crypto,crypto,ruonia_return,0.9950259336612995,0.0004038795583715702,0.00040187063465538497,0.9947212438156124
2023-07-09,mv_shrink_base,base,gold_return,0.14920189947245271,0.01199345086000433,0.0017894456495421674,0.14920351338068094
2023-07-09,mv_shrink_base,base,moex_return,0.05330995602529449,0.01199358234986776,0.0006393773476571985,0.05331111714450935
2023-07-09,mv_shrink_base,base,ofz_return,0.3026995310058075,0.011993375298505348,0.0036303890780342053,0.3027008981916499
2023-07-09,mv_shrink_base,base,ruonia_return,0.49478861349644543,0.011993220724671232,0.005934109053716913,0.49478447128315955
2023-07-09,mv_shrink_crypto,crypto,btc_return,0.0014162436282479263,0.010989300024330715,1.5563526138363156e-05,0.0014162684795940659
2023-07-09,mv_shrink_crypto,crypto,eth_return,2.1168450307730164e-20,0.01168638373442661,2.4738263335927573e-22,2.2511622553330046e-20
2023-07-09,mv_shrink_crypto,crypto,gold_return,0.10551391384807446,0.010989421968290194,0.0011595369228023084,0.10551693620653513
2023-07-09,mv_shrink_crypto,crypto,moex_return,0.012097338088843002,0.01098954858959229,0.0001329442847320657,0.012097823997872343
2023-07-09,mv_shrink_crypto,crypto,ofz_return,0.27817840291877827,0.010989272119007314,0.003056978167305313,0.27818257782147376
2023-07-09,mv_shrink_crypto,crypto,ruonia_return,0.6027941015160564,0.010988966675022572,0.006624084293460117,0.6027863934945246
2023-07-09,rp_sample_base,base,gold_return,0.29632479815798474,0.01882056115455649,0.00557699898534396,0.33348386413750036
2023-07-09,rp_sample_base,base,moex_return,0.187427549668023,0.029772256119638518,0.00558014101259265,0.33367174571877234
2023-07-09,rp_sample_base,base,ofz_return,0.5162476521739923,0.010782237466617786,0.005566304777323886,0.3328443901437276
2023-07-09,rp_sample_base,base,ruonia_return,0.0,-6.0475323234144074e-05,-0.0,-0.0
