rebalance_date,strategy,diversification_ratio
2022-03-27,rp_sample_crypto,1.6774288516927263
2022-03-27,rp_shrink_base,1.9335752275033504
2022-03-27,rp_shrink_crypto,1.750000498754293
2022-06-26,aw_base,1.5024147520681754
2022-06-26,aw_crypto,1.6250370570058796
2022-06-26,ew_base,1.6196999630818263
2022-06-26,ew_crypto,1.2963049716491133
2022-06-26,hybrid_base,1.6056583943525562
2022-06-26,hybrid_crypto,1.6665105146476111
2022-06-26,hybrid_loose_base,1.646447896036432
2022-06-26,hybrid_loose_crypto,1.6862436463864483
2022-06-26,hybrid_ruonia_capped_base,1.6056583943525562
2022-06-26,hybrid_ruonia_capped_crypto,1.666510514647611
2022-06-26,hybrid_unconstrained_base,1.663976706153046
2022-06-26,hybrid_unconstrained_crypto,1.6970350646770285
2022-06-26,mv_sample_base,1.723551940968804
2022-06-26,mv_sample_crypto,1.8120720276375142
2022-06-26,mv_shrink_base,1.8808150153642134
2022-06-26,mv_shrink_crypto,1.8345001890240233
2022-06-26,rp_sample_base,1.663976706153046
2022-06-26,rp_sample_crypto,1.6970350646770285
2022-06-26,rp_shrink_base,1.971955894740886
2022-06-26,rp_shrink_crypto,2.006254955511349
2022-09-25,aw_base,1.45242004954432
2022-09-25,aw_crypto,1.570972112035465
2022-09-25,ew_base,1.5442155360091707
2022-09-25,ew_crypto,1.2852116953007542
2022-09-25,hybrid_base,1.5382795826881743
2022-09-25,hybrid_crypto,1.6017189768739797
2022-09-25,hybrid_loose_base,1.5736912824852902
2022-09-25,hybrid_loose_crypto,1.6161149278168865
2022-09-25,hybrid_ruonia_capped_base,1.5382795826881743
2022-09-25,hybrid_ruonia_capped_crypto,1.6017189768739797
2022-09-25,hybrid_unconstrained_base,1.589817333384111
2022-09-25,hybrid_unconstrained_crypto,1.6239117908624257
2022-09-25,mv_sample_base,1.5960207618731626
2022-09-25,mv_sample_crypto,1.6575526622767627
2022-09-25,mv_shrink_base,1.7929493447904996
2022-09-25,mv_shrink_crypto,1.762792255806243
2022-09-25,rp_sample_base,1.589817333384111
2022-09-25,rp_sample_crypto,1.6239117908624257
2022-09-25,rp_shrink_base,1.9197867098303691
2022-09-25,rp_shrink_crypto,1.6774297745243414
2022-12-25,aw_base,1.456486236543514
2022-12-25,aw_crypto,1.5770424044714877
2022-12-25,ew_base,1.5464699680904261
2022-12-25,ew_crypto,1.2866627856804485
2022-12-25,hybrid_base,1.5380626350590745
2022-12-25,hybrid_crypto,1.6053911366531588
2022-12-25,hybrid_loose_base,1.5712017625596097
2022-12-25,hybrid_loose_crypto,1.618339734578894
2022-12-25,hybrid_ruonia_capped_base,1.5380626350590745
2022-12-25,hybrid_ruonia_capped_crypto,1.6053911366531586
2022-12-25,hybrid_unconstrained_base,1.5860919473451711
2022-12-25,hybrid_unconstrained_crypto,1.625201789182076
2022-12-25,mv_sample_base,1.5656584640957973
