strategy,asset,mean_rc_share,median_rc_share,min_rc_share,max_rc_share
hybrid_loose_crypto,moex_return,0.21710011857276593,0.2256807310489681,0.13088414046111502,0.3128586019028347
hybrid_loose_crypto,ofz_return,0.1630983569412303,0.17571841726051415,0.07002899850568188,0.19996718044915038
hybrid_loose_crypto,ruonia_return,0.0010811910583665364,-3.26757186207114e-05,-0.00010789922549497869,0.008516131504081023
hybrid_ruonia_capped_base,gold_return,0.20405050328267824,0.2120428571277714,0.15491577449771074,0.27136091066698126
hybrid_ruonia_capped_base,moex_return,0.5486545720669561,0.5523199298505914,0.4557350738212596,0.6949319267675936
hybrid_ruonia_capped_base,ofz_return,0.24759340820308207,0.2491648368318194,0.14200102550816207,0.33858140474814963
hybrid_ruonia_capped_base,ruonia_return,-0.0002984835527164366,-0.00023245076322401005,-0.0010726503208160203,4.1852492753996276e-05
hybrid_ruonia_capped_crypto,btc_return,0.212721130343166,0.18509095895250482,0.13822460724624322,0.33255609943960435
hybrid_ruonia_capped_crypto,eth_return,0.2561715870684346,0.2101634658127781,0.15420743071403437,0.46011334812911914
hybrid_ruonia_capped_crypto,gold_return,0.15117913998720878,0.16020945409622853,0.06417186978127777,0.24718537404083427
hybrid_ruonia_capped_crypto,moex_return,0.24022782091765324,0.2649249378944944,0.10622141889390087,0.3554676450064915
hybrid_ruonia_capped_crypto,ofz_return,0.13977624670656355,0.16218183747288104,0.03956039112124731,0.1973171440399088
hybrid_ruonia_capped_crypto,ruonia_return,-7.592502302619017e-05,-9.874397979747112e-05,-0.0003621075458572979,0.00031774733007766535
hybrid_unconstrained_base,gold_return,0.32534261280466825,0.33166565044855584,0.2986341622164913,0.3355297590956962
hybrid_unconstrained_base,moex_return,0.32567160423635844,0.33224179963039585,0.29875626579614994,0.33637689418734246
hybrid_unconstrained_base,ofz_return,0.32296092511817076,0.32801645851187083,0.2975783968991759,0.3330874976121517
hybrid_unconstrained_base,ruonia_return,0.026024857840802634,0.01068802127264738,-6.106399332557837e-18,0.10503117508818278
hybrid_unconstrained_crypto,btc_return,0.19870289770934305,0.2001488324273079,0.1866921056092274,0.2015599702580411
hybrid_unconstrained_crypto,eth_return,0.19870619836309658,0.2001512350768112,0.18669900939836287,0.20156318178338548
hybrid_unconstrained_crypto,gold_return,0.19840589399475003,0.20001047147373086,0.1865799782138923,0.200728195591314
hybrid_unconstrained_crypto,moex_return,0.1985421081981013,0.2000953788066647,0.18660676266694348,0.2010527001479706
hybrid_unconstrained_crypto,ofz_return,0.1970453632301292,0.19913581091362959,0.18584768750550865,0.19971858166020162
hybrid_unconstrained_crypto,ruonia_return,0.008597538504579831,-0.0,-3.0769422825392424e-21,0.06757445660606547
mv_sample_base,gold_return,0.002070731757556774,0.001969069722517248,0.0,0.005192781712374125
mv_sample_base,moex_return,0.001428227666403487,0.0012810559082257497,0.0,0.00486058076131563
mv_sample_base,ofz_return,0.00041314700688267026,9.982221051905639e-19,0.0,0.0036090468571642847
mv_sample_base,ruonia_return,0.9960878935691571,0.9960944332833965,0.9918530600850136,0.9992296174305944
mv_sample_crypto,btc_return,0.0001272245971792123,2.8291474516324007e-19,0.0,0.000591786325110854
mv_sample_crypto,eth_return,0.00010927523511443176,1.1502732609728302e-05,0.0,0.00045587190679442086
mv_sample_crypto,gold_return,0.0018851051555438983,0.0018111295238959217,0.0,0.0045690717993695715
mv_sample_crypto,moex_return,0.001202343820473537,0.0011984271044302897,4.318991503092799e-20,0.00486228906966254
mv_sample_crypto,ofz_return,0.0004145367437747858,5.383730268079189e-18,0.0,0.0036082801861299484
mv_sample_crypto,ruonia_return,0.996261514447914,0.9960995266564673,0.9918600097823667,0.9996124990843458
mv_shrink_base,gold_return,0.10038648854429764,0.08078746198451557,0.03587676301477148,0.22696598974968976
mv_shrink_base,moex_return,0.029376345217617516,0.019404636305936706,4.359606949421422e-19,0.08590548164639991
mv_shrink_base,ofz_return,0.261079136979823,0.2806182593789287,0.14201087027053777,0.3047106792982842
mv_shrink_base,ruonia_return,0.6091580292582619,0.6134163958294367,0.4272175384975312,0.8167177122672825
mv_shrink_crypto,btc_return,0.0009970699394125909,3.3483638547765364e-18,0.0,0.0074088703478980104
mv_shrink_crypto,eth_return,0.00017885510410481847,9.556663802074186e-20,0.0,0.0018088656902820939
mv_shrink_crypto,gold_return,0.13129355218268432,0.1280971531534525,0.06188727239563809,0.19605242927701358
mv_shrink_crypto,moex_return,0.05772225941337385,0.03368138190683839,0.0019334103162981292,0.1459826030329888
mv_shrink_crypto,ofz_return,0.2856835996541314,0.2837526690225424,0.2297380317418843,0.3242625172899938
mv_shrink_crypto,ruonia_return,0.524124663706293,0.565655209952202,0.35578722271214797,0.6837891558430912
rp_sample_base,gold_return,0.32534261280466825,0.33166565044855584,0.2986341622164913,0.3355297590956962
rp_sample_base,moex_return,0.32567160423635844,0.33224179963039585,0.29875626579614994,0.33637689418734246
rp_sample_base,ofz_return,0.32296092511817076,0.32801645851187083,0.2975783968991759,0.3330874976121517
rp_sample_base,ruonia_return,0.026024857840802634,0.01068802127264738,-6.106399332557837e-18,0.10503117508818278
rp_sample_crypto,btc_return,0.19870289770934305,0.2001488324273079,0.1866921056092274,0.20155997025804104
rp_sample_crypto,eth_return,0.19870619836309658,0.20015123507681123,0.18669900939836287,0.2015631817833855
rp_sample_crypto,gold_return,0.19840589399475003,0.20001047147373086,0.1865799782138923,0.20072819559131397
rp_sample_crypto,moex_return,0.1985421081981013,0.20009537880666475,0.18660676266694348,0.20105270014797055
rp_sample_crypto,ofz_return,0.1970453632301292,0.19913581091362967,0.18584768750550865,0.19971858166020165
rp_sample_crypto,ruonia_return,0.008597538504579831,-0.0,-3.0769422825392424e-21,0.06757445660606547
rp_shrink_base,gold_return,0.2516845069241671,0.25108114074430804,0.25001998574609136,0.2573595946016699
rp_shrink_base,moex_return,0.2519006109557902,0.2513125303474011,0.25027084382564596,0.258124056256714
rp_shrink_base,ofz_return,0.2503852129735082,0.25020509645130007,0.24997149058703985,0.2515278148072525
rp_shrink_base,ruonia_return,0.24602966914653449,0.24739812903178343,0.2331824062308235,0.24960753831733173
rp_shrink_crypto,btc_return,0.1743200467523138,0.16693356888877195,0.1668200965997329,0.20015345597662712
rp_shrink_crypto,eth_return,0.1743230904750406,0.16693667037822046,0.16682203181027125,0.2001564855262797
rp_shrink_crypto,gold_return,0.17415533146144238,0.16680913758845864,0.16666418774813607,0.19998841799858888
rp_shrink_crypto,moex_return,0.17420299654183272,0.16683793808658018,0.16668544048382153,0.20004015001039144
rp_shrink_crypto,ofz_return,0.17391094868759877,0.1665736093710149,0.1663122861457826,0.19986174713183513
rp_shrink_crypto,ruonia_return,0.1290875860817718,0.1659879203021708,-8.637155630376054e-21,0.16628177046242199
