rebalance_date,strategy,universe,asset,weight
2019-07-28,mv_sample_crypto,crypto,btc_return,1.1646092912552495e-20
2019-07-28,mv_sample_crypto,crypto,eth_return,1.9092932733950204e-23
2019-07-28,mv_sample_crypto,crypto,gold_return,0.0011337437289690036
2019-07-28,mv_sample_crypto,crypto,moex_return,0.00041084575597103833
2019-07-28,mv_sample_crypto,crypto,ofz_return,0.0005479002864504261
2019-07-28,mv_sample_crypto,crypto,ruonia_return,0.9979075102286096
2019-07-28,mv_shrink_base,base,gold_return,0.04587840456149604
2019-07-28,mv_shrink_base,base,moex_return,0.012632221904749153
2019-07-28,mv_shrink_base,base,ofz_return,0.2156058749146325
2019-07-28,mv_shrink_base,base,ruonia_return,0.7258834986191223
2019-07-28,mv_shrink_crypto,crypto,btc_return,0.0024278398220651007
2019-07-28,mv_shrink_crypto,crypto,eth_return,0.0
2019-07-28,mv_shrink_crypto,crypto,gold_return,0.17639661374133422
2019-07-28,mv_shrink_crypto,crypto,moex_return,0.13730712031682793
2019-07-28,mv_shrink_crypto,crypto,ofz_return,0.32100098723276377
2019-07-28,mv_shrink_crypto,crypto,ruonia_return,0.362867438887009
2019-07-28,rp_sample_base,base,gold_return,0.05580838973898346
2019-07-28,rp_sample_base,base,moex_return,0.04012786741587327
2019-07-28,rp_sample_base,base,ofz_return,0.14543572021154208
2019-07-28,rp_sample_base,base,ruonia_return,0.7586280226336012
2019-07-28,rp_sample_crypto,crypto,btc_return,0.004882016329414956
2019-07-28,rp_sample_crypto,crypto,eth_return,0.0035508154739892026
2019-07-28,rp_sample_crypto,crypto,gold_return,0.05159942163119063
2019-07-28,rp_sample_crypto,crypto,moex_return,0.04105254795503732
2019-07-28,rp_sample_crypto,crypto,ofz_return,0.13890211767387162
2019-07-28,rp_sample_crypto,crypto,ruonia_return,0.7600130809364963
2019-07-28,rp_shrink_base,base,gold_return,0.12046002238671863
2019-07-28,rp_shrink_base,base,moex_return,0.09087863999472702
2019-07-28,rp_shrink_base,base,ofz_return,0.28028488396738843
2019-07-28,rp_shrink_base,base,ruonia_return,0.508376453651166
2019-07-28,rp_shrink_crypto,crypto,btc_return,0.027156142254915777
2019-07-28,rp_shrink_crypto,crypto,eth_return,0.020225882386540613
2019-07-28,rp_shrink_crypto,crypto,gold_return,0.19394532111407642
2019-07-28,rp_shrink_crypto,crypto,moex_return,0.1871122599151827
2019-07-28,rp_shrink_crypto,crypto,ofz_return,0.2743065913109675
2019-07-28,rp_shrink_crypto,crypto,ruonia_return,0.29725380301831694
2019-10-27,aw_base,base,gold_return,0.2
2019-10-27,aw_base,base,moex_return,0.3
2019-10-27,aw_base,base,ofz_return,0.35
2019-10-27,aw_base,base,ruonia_return,0.15
2019-10-27,aw_crypto,crypto,btc_return,0.05
2019-10-27,aw_crypto,crypto,eth_return,0.05
2019-10-27,aw_crypto,crypto,gold_return,0.2
2019-10-27,aw_crypto,crypto,moex_return,0.25
2019-10-27,aw_crypto,crypto,ofz_return,0.35
2019-10-27,aw_crypto,crypto,ruonia_return,0.1
2019-10-27,ew_base,base,gold_return,0.25
2019-10-27,ew_base,base,moex_return,0.25
2019-10-27,ew_base,base,ofz_return,0.25
2019-10-27,ew_base,base,ruonia_return,0.25
2019-10-27,ew_crypto,crypto,btc_return,0.16666666666666666
2019-10-27,ew_crypto,crypto,eth_return,0.16666666666666666
2019-10-27,ew_crypto,crypto,gold_return,0.16666666666666666
2019-10-27,ew_crypto,crypto,moex_return,0.16666666666666666
2019-10-27,ew_crypto,crypto,ofz_return,0.16666666666666666
2019-10-27,ew_crypto,crypto,ruonia_return,0.16666666666666666
2019-10-27,hybrid_base,base,gold_return,0.1272118030206007
2019-10-27,hybrid_base,base,moex_return,0.16931179061640328
2019-10-27,hybrid_base,base,ofz_return,0.24767849118359525
2019-10-27,hybrid_base,base,ruonia_return,0.45579791517940077
2019-10-27,hybrid_crypto,crypto,btc_return,0.03500706448625981
2019-10-27,hybrid_crypto,crypto,eth_return,0.032541348526589756
2019-10-27,hybrid_crypto,crypto,gold_return,0.2058008366818996
2019-10-27,hybrid_crypto,crypto,moex_return,0.2078660061484224
2019-10-27,hybrid_crypto,crypto,ofz_return,0.4687847441568284
2019-10-27,hybrid_crypto,crypto,ruonia_return,0.05000000000000001
2019-10-27,hybrid_loose_base,base,gold_return,0.08353888483296112
2019-10-27,hybrid_loose_base,base,moex_return,0.09089886498624525
2019-10-27,hybrid_loose_base,base,ofz_return,0.18628558589375244
2019-10-27,hybrid_loose_base,base,ruonia_return,0.6392766642870413
2019-10-27,hybrid_loose_crypto,crypto,btc_return,0.02601130317801569
2019-10-27,hybrid_loose_crypto,crypto,eth_return,0.02206615764254361
2019-10-27,hybrid_loose_crypto,crypto,gold_return,0.20928133869103938
2019-10-27,hybrid_loose_crypto,crypto,moex_return,0.18258560983747585
2019-10-27,hybrid_loose_crypto,crypto,ofz_return,0.5400555906509255
2019-10-27,hybrid_loose_crypto,crypto,ruonia_return,0.02000000000000001
2019-10-27,hybrid_ruonia_capped_base,base,gold_return,0.1753187922771425
2019-10-27,hybrid_ruonia_capped_base,base,moex_return,0.23333950108655638
