strategy,asset,mean_weight,median_weight,min_weight,max_weight
hybrid_unconstrained_crypto,gold_return,0.19089945785628723,0.2278953525926652,0.02310640602216701,0.3487064172410185
hybrid_unconstrained_crypto,moex_return,0.13450916219277773,0.1631156970903578,0.01940733321236357,0.18863962685480853
hybrid_unconstrained_crypto,ofz_return,0.3917420122430948,0.4955420351542485,0.05400132714816047,0.5875693236645765
hybrid_unconstrained_crypto,ruonia_return,0.21264855892793533,0.0,0.0,0.8869489460916754
mv_sample_base,gold_return,0.001930502909680321,0.0017725186497899003,0.0,0.0049055733795911865
mv_sample_base,moex_return,0.00133488952550153,0.0011665488145131916,0.0,0.004769920210571298
mv_sample_base,ofz_return,0.0003286884821597072,3.9725845226226686e-19,0.0,0.002839455020989292
mv_sample_base,ruonia_return,0.9964059190826584,0.996218148793552,0.9920173385734377,0.9993791719518755
mv_sample_crypto,btc_return,0.00011889815438209817,1.1646092912552495e-20,0.0,0.0005564741756714416
mv_sample_crypto,eth_return,9.388924767358305e-05,1.1367883523437632e-05,0.0,0.000434857448798218
mv_sample_crypto,gold_return,0.0017551037819342143,0.0017725043972201399,0.0,0.004295926486144424
mv_sample_crypto,moex_return,0.001136962845020471,0.0011162010938238953,1.524659305057741e-20,0.004769938734754902
mv_sample_crypto,ofz_return,0.0003318056874018252,5.459921438442017e-19,0.0,0.0028388359621830017
mv_sample_crypto,ruonia_return,0.9965633402835878,0.9961719082865959,0.9920147398830532,0.9996923734280873
mv_shrink_base,gold_return,0.10037712468686137,0.08077853095261205,0.03586605123263949,0.22696540451108918
mv_shrink_base,moex_return,0.029373766168122234,0.01940252996142949,4.336808689942018e-19,0.08590240672522632
mv_shrink_base,ofz_return,0.26105384994303354,0.2806015812882672,0.14197534123831596,0.3047096217969135
mv_shrink_base,ruonia_return,0.6091952592019829,0.6134391655958833,0.42722329705137363,0.8167656383931653
mv_shrink_crypto,btc_return,0.000996993151043654,1.7965754888739934e-18,0.0,0.007408111604368345
mv_shrink_crypto,eth_return,0.00017885307937512198,7.872695819587078e-20,0.0,0.0018088371448507668
mv_shrink_crypto,gold_return,0.1312906756337057,0.12809492407761128,0.061880864664912466,0.1960503824599579
mv_shrink_crypto,moex_return,0.05772089888951995,0.03368007528873504,0.0019333370268228818,0.1459800137829642
mv_shrink_crypto,ofz_return,0.28568054562089573,0.2837503836552447,0.22972289322590467,0.3242643997042202
mv_shrink_crypto,ruonia_return,0.5241320336254598,0.5656602587917428,0.3557907658886169,0.6838135572858337
rp_sample_base,gold_return,0.12260434025405302,0.040821170386642826,0.030465748306847472,0.3915395906540808
rp_sample_base,moex_return,0.07757431308292488,0.031812841093327125,0.018718129121742633,0.19915812547169107
rp_sample_base,ofz_return,0.20499446857162454,0.07679289497964256,0.0487588445328125,0.5162476521739923
rp_sample_base,ruonia_return,0.5948268780913976,0.852523682550401,0.0,0.9016170074008782
rp_sample_crypto,btc_return,0.03904163249432426,0.036214401671727736,0.004181224336984279,0.0683363074229023
rp_sample_crypto,eth_return,0.031159176285580677,0.027975550481976228,0.0034543043332654335,0.0607429939976042
rp_sample_crypto,gold_return,0.1908994578562872,0.2278953525926652,0.02310640602216701,0.3487064172410184
rp_sample_crypto,moex_return,0.13450916219277773,0.1631156970903578,0.01940733321236357,0.18863962685480853
rp_sample_crypto,ofz_return,0.3917420122430948,0.4955420351542485,0.05400132714816047,0.5875693236645766
rp_sample_crypto,ruonia_return,0.21264855892793533,0.0,0.0,0.8869489460916754
rp_shrink_base,gold_return,0.16899050436889862,0.16658413972994088,0.11322577819715283,0.25242107483687215
rp_shrink_base,moex_return,0.1280047868726602,0.12917100014152158,0.0848015830482247,0.16698181779147891
rp_shrink_base,ofz_return,0.2602799621771523,0.2600290747578912,0.2135120575504994,0.28028488396738843
rp_shrink_base,ruonia_return,0.4427247465812889,0.4429771292102182,0.33757739561705075,0.5795114957174113
rp_shrink_crypto,btc_return,0.04155605602926024,0.03975258191659399,0.025371543464320967,0.06848147595842984
rp_shrink_crypto,eth_return,0.033179587680697224,0.03186480894488459,0.020009577558802172,0.05482137518144287
rp_shrink_crypto,gold_return,0.18612876753818744,0.18936183748708396,0.10924471147025346,0.3394900636945521
rp_shrink_crypto,moex_return,0.1505557010082691,0.15047719997779527,0.10231087082665252,0.22718012411102792
rp_shrink_crypto,ofz_return,0.28941652415199276,0.2573968232414954,0.24392285618071463,0.42340908290205476
rp_shrink_crypto,ruonia_return,0.2991633635915933,0.34586107506548147,0.0,0.46066076501627673
